	ACVRL1	AR	ARID1A	ASNS	ATM	AXL	BAX	BCL2	BCL2A1	BID	BRAF	BRCA2	CDK1	DUSP4	DVL3	EEF2	EEF2K	EGFR	EIF4E	ENY2	ERCC1	ERCC5	ETS1	FASN	FOXM1	G6PD	GAB2	GAPDH	GATA3	INPP4B	IRF1	IRS1	JAK2	LCK	MSH2	MTOR	MYH11	NF2	NOTCH1	NRAS	PARP1	PCNA	PDCD4	PDK1	PEA15	PRDX1	PREX1	PTEN	RAD50	RAD51	RICTOR	SLC1A5	SMAD1	SMAD3	SMAD4	SRC	SYK	TAZ	TFRC	TSC1	XBP1	XRCC1
DUSP4	0.16042773977505403	-0.22857504786529995	-0.2625897057242265	-0.18374453858737755	-0.05239780061911507	0.04952254294675815	0.05109167970395721	0.05546807665033092	0.24007680616655788	0.07800629387860965	-0.07204805199427067	-0.06864183003326031	-0.1789613599491233	1.0	-0.14009467067994436	-0.015606484654183586	-0.04939649853862742	0.04713162850260172	0.13611782744332285	0.06461104582408288	-0.014077088538365663	0.05403057698544108	0.19482984246027552	-0.01474186378184059	-0.19980003893752937	0.034135669654434375	-0.09735821310706527	0.005167512661983432	0.19590725157497982	0.1947657888133064	0.11057871271686452	0.09751955375067198	-0.0012868916058516961	0.16536296785582086	-0.23318859938169675	-0.29394156841094143	-0.02219217688575817	0.06739815969305714	0.10061881355748228	-0.14421640409087585	-0.2460404589972164	-0.12895051681767408	-0.12641525250061272	-0.15920989095541233	-0.08656598384106474	-0.08783089711855124	0.022476913281799838	-0.15198857614390007	-0.07002366354775236	-0.19723968115647886	-0.07096552881588096	-0.0232358940676337	-0.08281284163653416	0.06133236281470666	-0.041227060291245975	0.03427680128821321	-0.11182243850204296	0.0961415023582338	-0.042518483181198434	-0.03210595767141015		-0.059379650108018565
DVL3	0.05906052386219465	-0.13958355125026958	0.4271161404515287	-0.10866853658091043	0.04049055682976825	0.15429577375860784	-0.21155251107039044	0.047004414632917865	-0.23024831996390177	-0.1297155141775455	0.11260142544806234	0.1650441369592413	-0.06613294613704772	-0.14009467067994436	1.0	-0.08018645127235521	0.002259893716850963	0.1418521807676763	-0.35071963614595075	-0.049262398079208465	-0.05555119481031675	0.03746394592207043	0.09134049027946663	0.2018292999203297	0.23437671644095626	0.18716878285746888	0.044689413144306016	-0.24766417837008867	0.05948335287956875	-0.08963545446304048	-0.13937402663833953	0.1560638967567254	-0.06973383791908747	-0.0028282488160995757	0.11275767562047903	0.3070585452651122	0.14419841261582098	0.01072073856944181	0.36363221428557907	0.045957418986111186	0.2043092577083404	-0.08260679904211779	-0.06632859802535294	-0.07057039563684732	-0.11588994667331018	-0.23772872096364167	0.2106140986483849	-0.053079860561488855	-0.07563379722816437	0.0523516131371744	-0.05130701330271452	-0.09143724261911221	-0.04409713582472102	0.23563804144422598	-0.016720823557482566	0.2707544288081806	0.02062198711172936	-0.03005742861870082	0.019864306674833326	0.2525763320612502		0.15532226975968474
EEF2	0.034721231528125084	0.16482666041616556	-0.036587821597472356	-0.05380400807500194	0.15149584533577184	0.08119515149768886	-0.1051288932744836	0.06676687419629526	-0.06986118760840233	-0.014518859216343367	-0.07503946094961421	-0.23909091743492597	-0.3184315324750865	-0.015606484654183586	-0.08018645127235521	1.0	0.04136923387344724	0.12468705329878957	-0.12254320855461918	-0.23192500666794263	0.2188699244115114	0.08520452865073337	0.0857637778071479	0.048840475736462385	-0.25668400619831894	0.019476171282640606	0.2123276689283735	0.25776897838364965	-0.020335335148879426	-0.006953233807274077	0.039437178725744135	0.06694286968404872	-0.18228895590444646	-0.15774988015144936	-0.18812775577373356	-0.030441012977296542	0.13462628723634704	0.08790625030863922	0.057761403427744856	-0.2323115323228496	-0.04744668049527629	-0.28393691884667976	0.08797989273110386	-0.1499405374936037	-0.02337091051087847	-0.15813583017681215	-0.0876412571505823	0.21337567545345942	0.2750252448012349	-0.3046073584214551	-0.012704358169403658	-0.058487557181095565	0.09792851430220695	0.13016613095068189	0.014789751974282643	-0.005268903777828845	-0.03193839467562909	0.07244198476119638	-0.1355845708533296	0.07550541765398562		0.07501100077322075
EEF2K	-0.038026929162923856	0.2985564920843906	0.21550642215388682	-0.04862602565901587	0.1713169096725641	-0.021850599131194165	-0.246763161192277	0.20141470778719037	-0.13355122875361117	-0.0631504964471763	0.17563527741930082	-0.01900238443719745	-0.227445748152783	-0.04939649853862742	0.002259893716850963	0.04136923387344724	1.0	0.09093644631837969	-0.1793375556724942	-0.20850212260839768	-0.13334283860814394	0.1645186522442882	0.035428198732939335	0.04074215306887772	-0.09011702177116605	-0.016691263540410062	0.18076187636118696	-0.049680923562728116	-0.10030023797679033	0.06885885860793198	0.15064966573756092	0.15748185917784346	0.16001447912968886	-0.09127492735090217	-0.03217354665341615	0.13490454482922726	0.017022003794748056	0.12046125331428624	-0.04845778706961177	-0.12296564836802855	0.06147396850064023	-0.21514593517733732	0.17572181988229826	0.01888350856825854	0.08157642817217246	-0.03143447061385972	-0.0008005844476825842	0.04960446187863375	0.1748896926914973	-0.11823890933112903	-0.012274002171444354	0.06021787570746016	0.15566348409191902	0.004177916664740343	0.1387078794604945	-0.15646093448502751	0.240792785282974	0.07097652325971114	-0.10401746710645517	0.03738694642709137		-0.05069500980359092
EGFR	0.10520631520142615	0.04436111973482125	0.10515895810623996	0.018412679560028976	0.1847341874603439	0.15858874939865694	-0.13905044916147727	0.11399760590830302	0.0370321165015143	0.04845351853949429	0.13242530792790352	-0.06780797881924862	-0.22764272379476758	0.04713162850260172	0.1418521807676763	0.12468705329878957	0.09093644631837969	1.0	-0.21682563252653	-0.24777913974149432	-0.05806907712584468	0.10984212674804433	0.34171272309651346	-0.07425546244841653	-0.09109333383158563	-0.15081122094442814	0.05654423687886192	-0.12021980313002181	0.15488111798153573	0.20765317120061128	0.07854166451112149	0.18815876866988307	0.20862639391445736	-0.010322806630254117	-0.006353025904380141	0.12462429176105312	0.1973439318731887	-0.004518527761122523	0.1942846427960192	-0.049110125214351937	-0.01810696709318278	-0.26575647895538834	0.14040752939118872	0.021382158348726005	-0.028530664617437577	-0.21869632997385874	0.086352609655788	0.07215938929614234	0.05311987952932303	-0.19430388881586602	0.12455042910050512	-0.16848028949583582	0.16093982227238837	0.373685507719212	0.08745695752584848	0.04640071468554107	-0.1200879756982555	-0.032354372924370024	-0.022117219758898708	0.05910848581222724		-0.1293208917107805
EIF4E	-0.01660343029281222	-0.05243479532870568	-0.35474535668403523	0.020672452690050653	-0.2356237034855579	-0.07032332594351089	0.24659657305723298	-0.19426656028116426	0.2541613693217341	0.17131357620329096	-0.23227587761958346	-0.03405187504679182	0.12974349686063058	0.13611782744332285	-0.35071963614595075	-0.12254320855461918	-0.1793375556724942	-0.21682563252653	1.0	0.28172550643190747	0.050962246995563	-0.19296526743505657	-0.0848925168168288	-0.11423563497774518	-0.10877453482904732	-0.09513835135153578	-0.20727332725854447	0.05902648052573784	0.019591750274158735	0.23824553608426782	-0.024765662644968833	-0.21981723100831746	-0.012603375438907247	0.1404770038732241	-0.15102896222176185	-0.3271696286774129	-0.19408580120785526	-0.25204827336303837	-0.27678012387750967	0.14954703467296804	-0.18923051931462398	0.10840690165160605	-0.16062955597097836	0.04962114900951114	0.10632562492063373	0.346866523311535	-0.22985819417087103	-0.06858734202565035	-0.13029542501093325	0.06919683837846871	-0.05652825050939003	-0.016002176985642595	0.2329500353059991	-0.2233808244771073	0.09830370562843323	-0.0967458871480864	-0.11142863925959623	-0.08677584971288613	0.031608917134375226	-0.151471428254198		-0.18470924929027144
ENY2	-0.004826115147519505	-0.1424736300261271	-0.2464683080314952	0.12643110691866538	-0.12547133620228984	-0.07113085096685347	0.09954980632122573	-0.14615595022924388	0.17192818138383925	0.09565175438508319	-0.11986288352823253	0.10488054178332877	0.28717626578193534	0.06461104582408288	-0.049262398079208465	-0.23192500666794263	-0.20850212260839768	-0.24777913974149432	0.28172550643190747	1.0	0.13916384992378908	0.04299619333556786	0.004211236607182106	-0.027309705681154067	-0.041855140924919765	-0.05932030885181057	0.013196310207257434	-0.06466031906665647	0.18356236127471307	0.10746674001273503	0.05550224982471706	-0.1842077086968536	-0.01211870654530507	-0.014591445856854684	-0.08826352081287418	-0.3455397244278153	-0.13180963145681487	-0.06095631681045018	-0.17965406964276792	-0.005746184998143966	-0.2804724051865615	0.20240713662573293	-0.1508365626252455	0.0194567046377603	0.2223676637523026	0.20818640975500183	-0.2721545158242098	-0.08497022532740844	0.0326112550524903	0.26082250149430514	-0.023844327868584116	0.14035932835941875	-0.09643154617068217	-0.2342262817187461	0.031884074459405616	-0.11979650774809852	0.04872745081693341	0.00620790883289863	0.15342782905894278	-0.0833497207667342		0.006861715251374378
ERCC1	0.1110457790866863	-0.015711040538270347	-0.19640812063937776	0.0899614522210725	-0.0021346811066508043	0.08175337068413219	0.5330320258841159	-0.08149106594248663	0.09233731231326021	0.216420804552151	-0.11676851664024851	-0.04144637020289767	0.05999043829838016	-0.014077088538365663	-0.05555119481031675	0.2188699244115114	-0.13334283860814394	-0.05806907712584468	0.050962246995563	0.13916384992378908	1.0	0.057951868125657315	0.00023048294424161698	-0.07502649769834324	-0.09659940866755472	0.07748074190978524	0.011451943628692871	0.25344523402191665	0.12231677469485251	-0.09053268475015167	-0.012121031394572417	-0.10273478959621972	-0.12237186561579562	-0.0585094029840026	-0.22872968768182586	-0.3151668428001449	-0.041678905135839335	-0.02413623057276342	-0.05970149261746024	-0.1273564906537851	-0.16119336993202685	0.09000391774575134	-0.045381011993486105	-0.050945951212754456	0.056695779708645117	0.10621962521123178	-0.21863748510199582	0.020953055466717344	0.08404935472452274	-0.0638998098025718	-0.0017345732162675125	0.22948568270306988	-0.10354765896255126	-0.10300971234194856	-0.07836474712151831	-0.04048021848890111	-0.1461574927522524	0.05309404963294076	-0.010479341632450437	-0.15255000752722486		0.5383537925793388
ERCC5	-0.09740700335242837	0.06602477900626169	0.1357985943472841	-0.08974452314818357	0.2479843664200365	-0.007539568158950467	-0.10851888359550242	0.16824621063320577	-0.0609485506735364	-0.042758508496595724	0.11929358392003134	0.17550131573043173	-0.10828283587840506	0.05403057698544108	0.03746394592207043	0.08520452865073337	0.1645186522442882	0.10984212674804433	-0.19296526743505657	0.04299619333556786	0.057951868125657315	1.0	0.04635404712514883	-0.1472385985278599	-0.20054317202876196	-0.029432771719862517	0.052267611455254756	-0.14312986892538002	0.10680807901707615	0.0013470810001721175	0.07466268032127547	-0.10647415552880937	0.05435110371718614	-0.06517796817124426	-0.1821389756339179	-0.15453677507089375	0.11520325874385909	0.010074579591099907	-0.0789241031448188	-0.17255916485627493	0.02012470861983495	-0.1136209716238054	0.18283639360304016	-0.1440271659377952	-0.04704991051768997	-0.1452664943259635	-0.21968087753646107	0.04975737089827367	0.27972359075723613	-0.15377872352743618	0.12865046165510563	-0.03906685888636649	-0.1181591738147737	0.0015683831882473656	-0.03358528958439949	-0.20630736645266728	0.08924309053134513	0.15887883994829397	-0.1609496627797963	0.09267752540578476		0.13215856949807483
ETS1	0.5781005636163699	-0.09216973742878673	-0.07315787550154866	-0.016322062728056568	0.17726146894589068	0.4643763947267644	0.005664547119221581	0.06751846195279264	0.37944579985476695	0.0761797903426541	0.02436773103633623	0.039946605036245635	-0.037292133583190404	0.19482984246027552	0.09134049027946663	0.0857637778071479	0.035428198732939335	0.34171272309651346	-0.0848925168168288	0.004211236607182106	0.00023048294424161698	0.04635404712514883	1.0	-0.0015768118909104704	0.028050921175749616	0.08967211789357478	0.1245441593215776	-0.07835712957851178	0.3007916146088926	0.40683705917406854	0.2230036901128552	0.04672932467924662	0.3131172723545179	0.3457149862736518	-0.1412110833563542	-0.004556462119343152	0.3292092607039561	0.13167485095038214	0.245374748568454	0.0009386297680101933	-0.12853732513632388	-0.198511482388172	-0.11309494553061142	-0.07051770816926384	0.0093058507803399	-0.20707270641695952	0.2701418154191806	0.20415131785827503	0.0011671856388510212	-0.005377716297087561	-0.012250170873102149	0.02593287305405382	0.2110604026482766	0.10349686011256021	-0.019064445375465384	0.039365646359302876	-0.14341888831365726	0.04373444388123406	0.19719679310803145	0.09717853372689046		-0.1358893404132878
FASN	-0.0009162392463828402	0.03790818612050271	0.2514105291722414	0.06504408994936964	0.033759968912415506	-0.013698421389570234	-0.09398461056728916	0.026763972605801614	-0.16446110224138763	-0.059866817511216204	0.04275322513167155	0.18534520016546008	0.023877032958490228	-0.01474186378184059	0.2018292999203297	0.048840475736462385	0.04074215306887772	-0.07425546244841653	-0.11423563497774518	-0.027309705681154067	-0.07502649769834324	-0.1472385985278599	-0.0015768118909104704	1.0	0.26694835087073304	0.21049977439616255	0.09703059219873247	-0.04709356013174352	-0.01039685438387181	-0.05961987644236987	-0.05846444089723363	0.09580560634180406	-0.08536512433338218	-0.051207816494197075	0.12692687565988098	0.3215712583875388	0.0424493050604773	0.20575890753025747	0.3804421496369295	-0.01067518617779498	0.2500082759025323	-0.1249051492732686	-0.13278938353122402	-0.02741290696494832	-0.18192910817319088	-0.13744370599581335	0.14973870221534047	-0.07795384750357504	0.036915685822104395	0.10999503383853247	-0.17522477545593895	0.13873624335373644	0.01969657577677095	0.13739686309372787	0.07032830002583614	0.21535053525796152	0.0826119405117414	-0.038809788514294306	0.08046605679542669	0.13902909929045396		0.0534966011166288
FOXM1	-0.03898204317784293	-0.162662126784079	0.15228855487585546	0.18920367209263472	-0.2009776606242312	-0.13096998729315906	0.10544598070327424	-0.13890842437968454	0.011130145220949855	-0.02924180054594849	0.1346189049507435	0.5035130963295482	0.601426135147717	-0.19980003893752937	0.23437671644095626	-0.25668400619831894	-0.09011702177116605	-0.09109333383158563	-0.10877453482904732	-0.041855140924919765	-0.09659940866755472	-0.20054317202876196	0.028050921175749616	0.26694835087073304	1.0	0.2603685955378875	-0.07955248755371584	0.28207627057312223	-0.04955698579027171	-0.18291915814714915	-0.08871470469067036	-0.07128903134202744	-0.11012473543894667	0.05932145302226756	0.4018816032761108	0.3079789943136857	-0.11727670670093382	0.05137692774153413	0.2070714102725386	0.3276251236413788	0.3156841752177067	0.4206806484173732	-0.14614851614046717	0.2567389369435099	-0.1011794168242828	0.06059888943256596	0.09510576492618758	-0.11030438577142225	-0.25295056171405306	0.6032851005664772	-0.13306850572483664	0.23181752900267708	0.01928240613379605	0.008255454746717563	-0.0967534909415479	0.24554522299007514	0.16624609038946983	-0.07001672707406291	0.3092741451444387	0.05491692140243945		0.15242468821558236
