	ACVRL1	AR	ARID1A	ASNS	ATM	AXL	BAX	BCL2	BCL2A1	BID	BRAF	BRCA2	CDK1	DUSP4	DVL3	EEF2	EEF2K	EGFR	EIF4E	ENY2	ERCC1	ERCC5	ETS1	FASN	FOXM1	G6PD	GAB2	GAPDH	GATA3	INPP4B	IRF1	IRS1	JAK2	LCK	MSH2	MTOR	MYH11	NF2	NOTCH1	NRAS	PARP1	PCNA	PDCD4	PDK1	PEA15	PRDX1	PREX1	PTEN	RAD50	RAD51	RICTOR	SLC1A5	SMAD1	SMAD3	SMAD4	SRC	SYK	TAZ	TFRC	TSC1	XBP1	XRCC1
BRAF	-0.1883146152712946	-0.024390368126838056	0.3548963923471621	0.2690443100961626	0.10241826616216006	-0.17859771218410656	-0.16652284578144058	-0.16968955321000265	-0.3776442934592214	-0.3981829469526793	1.0	-0.16489815638594785	0.19147990522003772	0.040157680220190464	0.25398300521970246	0.07438043132221399	0.3451532342855134	-0.2074471805503333	-0.022334727449883664	0.14332325125175463	0.1008071327492759	0.002115921069731199	-0.5049814792298921	0.18174615127445531	0.3520251691359066	-0.06406860072666037	0.3858616042788523	0.13030707298703376	-0.14454592171748099	0.06046414097115274	0.0731333080744157	-0.14292596177038186	0.0672164735961537	-0.21950172268481832	0.39388655899708597	0.5219865558063015	-0.25520454091247335	-0.09219024686507202	-0.1915321388834571	-0.1446814429702326	0.2433762738710567	0.12633349992971968	0.08223656292427683	-0.24034161249835684	-0.11600559855189524	0.013751243834787758	-0.0033641490720520808	-0.012208424567145713	-0.004260319444198917	-0.21620720685042394	0.213706685563971	0.2124732438677397	0.21102336276726497	-0.24691278034063735	-0.16419085992277085	-0.2899200971490961	0.3344470565455875	-0.34366121335082633	0.27646639069361784	0.22326689124973292	-0.11996958582333253	0.09097544105118903
BRCA2	0.28688183672302614	0.011752023432757653	0.006365005538269135	0.012205815346060689	0.056800840060841164	0.031646124469448284	-0.10821437044958153	-0.0626300417127097	0.047385697783861196	0.12272239979675036	-0.16489815638594785	1.0	0.004035289656821544	0.3489532957800712	-0.03162746049949445	-0.08954712520083073	-0.17220092648069532	-0.21444994921762464	-0.11915455414077132	0.06125960882995865	0.12548382597311106	-0.01494078478240009	0.01609087443284531	0.041674938333207664	-0.015996962226411324	0.05670898571217795	-0.11692638305931538	-0.10452287858410468	-0.04642159543083956	0.0056892238960967135	-0.1043204150992599	-0.11559962523657454	0.21862657954619422	-0.11164766167769526	0.038277935085710396	-0.19399951145197852	0.201937470794517	0.0719514052203163	0.07139223582080506	0.3146880705685838	0.05850276401916842	-0.218257951725745	-0.1102387919062458	0.16891271376247283	-0.0020374304104025503	-0.15693775131057786	0.17952219551452558	-0.054993417397049375	-0.03021576825347943	0.06610438487629666	-0.006409124533625292	0.010277668795606472	-0.09399505111854407	-0.04299261296320183	-0.11872096049202169	0.12365259249852457	-0.09733815672880901	0.2030721221973114	-0.19498576928115455	-0.10356117308680753	0.14036260389481026	0.008982620815281504
CDK1	-0.28508631008890484	-0.2010880030578518	0.21180938591025186	0.2702261696895763	-0.12289949004651556	-0.18580551627172417	0.16846280524263418	-0.17783852003786813	-0.051757512517262245	-0.09407984767696666	0.19147990522003772	0.004035289656821544	1.0	-0.04948156681614779	0.051727799933988135	0.03215145921759233	-0.030104906991538827	-0.09922788436164788	0.1586384290004167	0.2481444925297273	0.025458167971804457	-0.08863237611560928	-0.2365571604944891	0.1728435356987848	0.6611456495745386	0.06535872538681885	-0.0002671487129835787	-0.005153718917673401	-0.1889673404038602	-0.25467384766935436	-0.09219203102126625	-0.13037918414352243	-0.1945891553303345	-0.06434512143142747	0.34997760384742926	0.05187677604031802	-0.15884261705835662	-0.1110367186475397	0.03465248715023174	-0.1699478474893108	0.31130168059777524	0.4645953676863722	-0.15295157438345847	-0.03893899625633719	-0.0991811001570731	-0.052348272288731484	-0.10019824558088226	-0.12833193384497918	-0.2046129133872952	0.25554153923876916	-0.058723996408449865	0.30004004118926103	0.19915730411686688	-0.10019912053155987	0.011678205545887025	-0.0401463988690746	0.17024321423383512	-0.06756831024271337	0.019135971867771585	0.36845701330911124	-0.2841809226102475	0.2045284002036611
DUSP4	0.435467320165391	0.03490702785780519	0.19548533637992438	0.04771544221536715	0.05196565189570394	-0.1082295324580349	-0.29227890455240774	-0.028357091121818674	-0.07906823545593394	-0.3011017363152625	0.040157680220190464	0.3489532957800712	-0.04948156681614779	1.0	-8.589229550724074e-05	-0.1370008954524469	0.017243286893154953	-0.0796349365043677	-0.11569119691790189	0.2956338764782579	0.10206624877616069	0.1061331450774472	-0.15575697418346898	0.16207077560797878	-0.0033861025871781154	0.03586598400896823	-0.036187724809891866	-0.12841074338483208	0.1498027202656359	-0.01299127414944548	0.07375467136912858	-0.1632788707818761	0.36466454088709305	-0.1424220351951082	0.17873958983127558	0.08741766190570131	-0.11015598281994728	-0.22934742210075248	-0.09729587132775114	0.4272442738007172	0.1577403815634267	-0.1741923652445725	0.2365971349046592	0.14737120754414834	-0.1695384701045106	0.08803656178290828	0.16448417423602027	-0.16382000100799757	-0.08774667300701519	-0.06960716661568725	-0.07277695347630463	0.021807045233039384	0.042580059573160224	-0.001180067873464421	-0.002587221169744143	-0.020499040479293	0.07922908510991236	-0.21453772796694343	-0.024063344216456607	-0.14198077754323227	-0.022051424246840094	0.19738737308715587
DVL3	-0.10476888534873462	-0.24845505295670695	0.128344626257917	-0.021858594716670617	0.0773894343164939	0.10903914029963443	0.06929307903226449	-0.20090104392457003	-0.1820848474365492	-0.26348935683389096	0.25398300521970246	-0.03162746049949445	0.051727799933988135	-8.589229550724074e-05	1.0	0.030778914908459125	0.015442526563123199	-0.09703273364430819	-0.05502569899864606	0.09074785714077745	-0.009976836392895013	0.03261433486417368	-0.1155939866651499	0.10747006021087191	0.12101818677029148	-0.09107501729649498	0.21833907215850804	-0.06996607739903567	-0.15360374154823564	0.09400521141055325	0.04653047146106701	-0.06252071820072844	-0.0013265755190580975	-0.04838239819554762	0.07418906149608405	0.13373800692010585	0.0071009864588632045	0.10202821875575516	-0.1132527720970881	-0.13755690842720084	-0.06903758321988919	0.0022878127941291103	-0.019566714394813264	-0.14633888147523533	0.11497551017081027	-0.046448713185063384	0.08570174587189801	0.04829909640393536	0.011705823542459482	-0.15536587573914315	0.08493632411615074	0.14657667748342712	0.0969984858762493	0.08499776961888084	-0.010553464552265579	0.002384605227385514	0.09448684264113548	0.0925332055229923	0.24708191854795827	0.1713752649282857	-0.09756348864883994	0.08087735782878272
EEF2	-0.12515302670553685	-0.057352650302960564	-0.037617008315086006	0.12312688512898946	0.20701627736681252	0.015447609994116075	0.04450873235907208	-0.07218336025382467	-0.06921397586673544	0.011148199034009695	0.07438043132221399	-0.08954712520083073	0.03215145921759233	-0.1370008954524469	0.030778914908459125	1.0	0.33874760083898214	-0.01454300081406172	0.00042386090620351216	-0.05163723604014791	-0.0554354056752336	-0.10896092098573676	-0.031239817126076756	0.22239507530717717	0.08881415424574925	0.04890787760456537	0.03101382910059179	0.2662390444037197	0.00685422779953156	-0.03900999984031346	0.0039502996641897214	-0.09301857345119029	-0.007889634484403623	0.10012683124362036	0.11827653689646236	0.1716326355267671	-0.22236365285404247	0.05220533985033046	0.08377931522977385	-0.09667448434314364	0.016181787854416922	0.20061588858791693	-0.17318634828910834	-0.14082323720499978	0.07891719100782911	0.09288492300296218	0.03218039750425105	0.08780666314841505	0.10759448380150251	0.02924983709905453	-0.06677933404255831	0.22790639972289256	0.09571360841960616	-0.14614191081123215	-0.05633901489629731	-0.05098137695483716	0.061338688495383195	-0.02830992105614665	-0.0018796045647193338	0.2675881178393438	0.0022458461371276024	0.04416708628898668
EEF2K	-0.18306314610642704	0.17358817961811002	0.12739969840695622	0.08146913689038536	0.13750292021101168	-0.11558446142309618	-0.24241100607425364	-0.046096919164442016	-0.26025998740336853	-0.11813102581381503	0.3451532342855134	-0.17220092648069532	-0.030104906991538827	0.017243286893154953	0.015442526563123199	0.33874760083898214	1.0	-0.08347955275649634	-0.02713663386837215	-0.04277932954477925	-0.05921806682346694	0.03445509413202888	-0.3083708232031628	0.017849419515480677	0.0935694763717644	-0.11562649558412687	0.2469727257829367	0.1413831660047996	-0.03877120756343203	0.1028153855002836	0.2202843402791377	-0.051327113966603846	0.04451816027275506	-0.08940911928647283	0.16680179858105262	0.3194316537585183	-0.27847341874924003	0.026113593208316126	-0.12171424779983593	-0.001955721209775243	0.09587664361260229	-0.012214017792973018	0.12655907641735423	-0.11976331918600261	-0.016250507226388117	0.038914009579789514	-0.027269643604538207	0.0505857610792635	0.1738351019942252	-0.10643209960891759	0.08966078938003143	0.16840363485007437	0.16701991689017798	-0.24484784611177315	-0.15663131458760113	-0.27000621945067793	0.23352974737939364	-0.2641630954878422	0.043956761288164184	0.07829995104223277	-0.14971535248158402	-0.016231689402351708
EGFR	0.14943363342023566	-0.12551506037365295	-0.20024142474173776	-0.06905342148036443	-0.20423795862824032	0.01027899076619223	0.23642688899767064	0.10982026479186804	0.287650426228981	0.2391926358347487	-0.2074471805503333	-0.21444994921762464	-0.09922788436164788	-0.0796349365043677	-0.09703273364430819	-0.01454300081406172	-0.08347955275649634	1.0	0.17416033259314054	-0.10552846205518575	-0.1751571063664158	-0.015097062240530125	0.3841779695257539	-0.12436236232920637	-0.2278623233701685	0.17788476137290435	-0.1745534858584455	-0.10399011784171193	0.24264904414547833	-0.0443080307937372	0.08694106180253353	0.18949541730560537	-0.11262427264563506	0.18786589498552297	-0.2770615095933627	-0.2738528962160286	0.001925585598244579	-0.1870530333889297	0.206493645979069	0.0990082208239712	-0.20404624824658707	0.0333448913073092	-0.07622947512428821	0.20398710171045117	0.11096665107686982	0.1933413398061721	-0.043665922869145286	-0.08487967160467597	-0.06543493094882025	0.14734562629317194	-0.07286508762564714	-0.07886333972241956	-0.1236752513589064	0.15229296739376974	0.15069513971914233	0.1385752328833524	-0.3020799190525324	0.33041283419132256	-0.03253176677175346	-0.01974607858774111	-0.11130792175367375	-0.06513197523981497
EIF4E	-0.1504884893359527	-0.09017647461836294	-0.013887564809774966	0.0164591960886599	-0.2645429772536118	-0.2095754126335775	0.23508919400077763	-0.06387127815391484	0.07318401261723928	0.044266773237969445	-0.022334727449883664	-0.11915455414077132	0.1586384290004167	-0.11569119691790189	-0.05502569899864606	0.00042386090620351216	-0.02713663386837215	0.17416033259314054	1.0	0.053579555057840685	-0.17299441339237337	-0.10916292027077866	0.0003738692416163949	0.05457894296322705	-0.08673193385917086	0.10034173859088427	-0.14265638630798647	0.0405490336473051	0.05843271451033136	-0.12027121338751116	-0.081673102178072	0.07372169594551145	-0.31619339393980384	0.07753860075733005	-0.2215536264811875	-0.1609495272448776	-0.050433693974313853	-0.050278782706345525	0.1225663780470718	-0.12516349375707692	-0.07013058457547663	0.05573796080465816	-0.16170983902934807	0.28954167900146915	0.08431479490672988	0.11563065204192423	-0.07292102313573359	-0.06393682351011004	-0.08300371478876471	-0.01751241364382542	-0.1115003154523916	-0.04778131323140931	0.23408041109773847	-0.13084465077677102	0.11418521973678421	0.02628432563242212	-0.04703574921537075	0.0834286139737868	-0.062275189845256367	-0.0457323617783293	-0.3461257465640655	-0.0012670117018465541
ENY2	-0.12393663880519998	-0.004505216418840358	0.26618114674311266	0.20139117642593776	0.09705186335250506	-0.2530185552777288	-0.03495557439926817	-0.0416978333657254	-0.12722913532571373	-0.20185305425043254	0.14332325125175463	0.06125960882995865	0.2481444925297273	0.2956338764782579	0.09074785714077745	-0.05163723604014791	-0.04277932954477925	-0.10552846205518575	0.053579555057840685	1.0	0.05245192815889668	0.09904763892136312	-0.24964392338516697	0.13327695300860085	0.29563056469770366	-0.17805777815704615	0.07619567430114464	0.054670610903967624	-0.15015059308358739	-0.23784506663200966	-0.14709067053582736	-0.0738826706973467	-0.02982703318836366	-0.20677502807633547	0.3893052242665015	0.2605357020493163	-0.18090137412910615	-0.14701433956841714	-0.08581763505713426	-0.14177693890071705	0.4843163549601114	0.23457700853540692	0.1762395768242875	0.09106074824530941	-0.07930744754856232	0.09799766554713882	-0.05676551658898423	-0.20312135583972799	0.10319746128987145	-0.011965784995820657	-0.13171616592421415	0.19181590045858962	0.10117652357654687	0.08342994520404232	0.07808636677953061	0.021206682082536323	0.1870974765378681	-0.1793482524193588	0.09338218961921789	0.256761191859788	-0.24297963982847284	0.4015637550595186
