"Sample_ID"	"ACVRL1"	"AR"	"ARID1A"	"ASNS"	"ATM"	"AXL"	"BAX"	"BCL2"	"BCL2A1"	"BID"	"BRAF"	"BRCA2"	"CDK1"	"DUSP4"	"DVL3"	"EEF2"	"EEF2K"	"EGFR"	"EIF4E"	"ENY2"	"ERCC1"	"ERCC5"	"ETS1"	"FASN"	"FOXM1"	"G6PD"	"GAB2"	"GAPDH"	"GATA3"	"INPP4B"	"IRF1"	"IRS1"	"JAK2"	"LCK"	"MSH2"	"MTOR"	"MYH11"	"NF2"	"NOTCH1"	"NRAS"	"PARP1"	"PCNA"	"PDCD4"	"PDK1"	"PEA15"	"PRDX1"	"PREX1"	"PTEN"	"RAD50"	"RAD51"	"RICTOR"	"Sample_ID.1"	"SLC1A5"	"SMAD1"	"SMAD3"	"SMAD4"	"SRC"	"SYK"	"TAZ"	"TFRC"	"TSC1"	"XBP1"	"XRCC1"
"TCGA-13-0906-01A"	-0.0016748	0.6838	-0.17027	0.16227	0.67833	0.042772	-0.40404	0.038914	0.098444	0.15684	-0.74315	-0.23268	0.060008	-0.5998	0.17457	-0.68855	-0.2143	-0.31753	-0.18945	0.41336	0.090018	-0.069315	-0.18173	-0.47707	0.66987	-0.074837	0.37804	-1.1238	-0.245	-0.093334	-0.099355	0.16236	-0.29005	0.12519	0.51366	0.15095	2.629	-0.35228	-0.1142	-0.1407	0.65469	-0.13512	0.8251	-0.34241	-0.028427	0.0079669	-0.38507	0.61137	-0.26768	0.017432	0.23363	"TCGA-13-0906-01A"	0.24066	-0.1824	0.24401	-0.020163	0.2493	0.50623	-2.9315e-05	-0.20603	0.78392	0.17858	-0.064439
"TCGA-25-1316-01A"	-0.10933	-0.85419	0.35804	-0.074649	0.9979	-0.43181	-0.14829	-0.58286	0.040801	-0.00011379	-0.23729	-0.14477	0.065169	-0.055253	0.01964	-1.0048	-0.46384	0.45755	-0.12598	0.65542	0.044077	-0.031076	1.0944	-0.95848	0.49661	0.076483	-0.17344	-1.2937	0.55476	-1.0249	0.12418	-0.091507	-0.55344	0.26557	0.54804	-0.022945	-1.4931	-0.60533	-0.45981	-0.31431	1.4973	-0.055608	1.5881	-0.14452	0.56078	0.052327	0.20909	0.18956	0.61528	-0.27628	-0.40277	"TCGA-25-1316-01A"	-1.0562	0.26477	0.2338	-0.17219	-0.42432	0.33189	-0.14904	-0.5497	0.039556	-0.02184	0.0021459
"TCGA-13-1410-01A"	-0.051814	0.47858	0.097133	1.3661	0.31616	0.16049	0.23143	-0.65548	0.052426	0.092349	-0.054928	-0.19985	0.26554	-0.45245	0.65901	-0.72808	0.26302	-0.20817	-0.10555	-0.18851	0.030839	0.035709	-0.24721	-1.0558	0.5952	-0.11016	1.087	-1.5712	-0.22026	0.14258	0.18094	0.20082	-0.28884	-0.032934	0.13333	0.10748	0.15678	0.083591	-0.21136	-0.16229	0.66359	-0.078007	0.55035	-0.32563	0.15684	-0.13939	-0.040766	0.82877	0.24955	-0.23845	0.36274	"TCGA-13-1410-01A"	0.35328	0.20995	-0.44526	-0.16475	-0.56465	0.99355	0.0091621	-0.60639	0.32234	0.060066	0.41552
"TCGA-13-0887-01A"	-0.018653	-0.35589	-0.22435	1.1225	0.75927	-0.2269	-0.024506	-0.58182	0.15476	-0.09038	0.16741	-0.29291	0.10036	-0.45369	0.26677	-0.050058	-0.26451	-0.47694	0.076587	0.16861	-0.079875	0.5932	-0.51959	-0.8054	0.52087	0.12387	0.92751	0.40653	-0.024533	-0.27566	0.19751	-0.28435	-0.49709	-0.017301	0.25731	0.023153	-1.6643	-0.47086	-0.31125	-0.099759	0.2411	0.40445	0.028011	-0.0058122	-0.093877	0.22256	-0.051938	0.37584	0.13814	-0.034426	-0.30718	"TCGA-13-0887-01A"	0.60767	0.07578	-0.49462	0.021007	-0.55509	1.561	-0.22878	-0.73699	0.9064	-0.22282	0.23578
"TCGA-10-0931-01A"	-0.061031	0.28486	-0.13116	0.66675	1.0135	-0.58387	-0.63629	-0.38319	0.24434	0.022563	0.28085	-0.12509	0.21491	-0.039843	0.30475	-1.0509	0.17295	-0.64826	-0.20748	0.42936	-0.055198	-0.098094	-0.86852	0.1971	0.96693	0.069722	1.4505	0.82717	-0.24096	-0.82945	0.29627	-0.2115	-0.46615	-0.22525	0.63037	0.43684	-1.1812	-0.21074	-0.5799	-0.081731	0.27905	0.33814	0.66382	0.0054225	0.061278	0.69362	-0.40918	0.29837	-0.27896	0.065118	-0.093635	"TCGA-10-0931-01A"	0.83146	0.038349	-0.47444	-0.074285	-0.8551	1.0051	-0.21365	-1.3871	0.49561	-0.15702	0.17477
"TCGA-25-1322-01A"	0.091938	0.59051	0.052984	-0.38734	0.62679	0.052732	-0.50255	0.25184	0.026103	0.012439	-0.3407	-0.30593	-0.009915	-0.56655	-0.019306	-1.4001	-0.34058	-0.12664	-0.26141	0.007488	-0.062522	-0.56317	-0.14553	-1.4043	0.45855	0.039702	1.2306	-1.5504	-0.539	0.21854	-0.22742	0.36885	-0.22789	-0.41358	0.13267	0.13517	2.4776	-0.084581	-0.27306	-0.13895	-0.32225	-0.372	1.175	-0.21265	0.14025	-0.16205	-0.44001	0.56715	-0.34948	-0.19727	0.71749	"TCGA-25-1322-01A"	-0.5449	-0.044404	0.039495	-0.02491	-0.23638	0.73834	-0.22182	-0.0026656	0.016408	0.19021	-0.2555
"TCGA-13-1411-01A"	0.16419	-0.28078	0.26148	0.56045	-0.21441	0.29245	0.10436	-0.43064	0.089264	0.078461	-0.21135	0.13038	0.022394	-0.13225	0.33241	-0.4411	0.11803	-0.35859	0.38036	0.087046	-0.1117	0.15378	-0.17354	-0.32093	0.02654	0.080997	0.36963	1.1304	-0.026961	-0.78376	0.025155	-0.048573	-0.18677	0.61069	-0.50945	-0.092815	-0.23411	-0.36161	-0.040265	0.22429	-1.4017	-0.02088	0.093677	0.2984	0.51575	0.36314	0.48584	0.78263	-0.48865	-0.13608	-0.80993	"TCGA-13-1411-01A"	0.34377	0.11431	-0.2096	-0.15033	-0.31909	0.64069	0.023511	-0.72594	0.31352	-0.13015	-0.087294
"TCGA-13-0888-01A"	0.046824	0.14832	0.70417	0.55105	0.7632	0.15329	-0.03521	-0.37932	0.16125	-0.11508	0.00073078	-0.36336	-0.16609	-0.43801	0.32845	-0.83047	-0.11308	-0.32827	-0.033023	0.69398	0.20517	-0.072157	-0.30188	-0.91607	-0.035744	-0.087389	0.96594	2.0375	-0.48589	0.048581	-0.15499	0.16143	-0.43787	-0.64501	0.95139	0.43194	-1.2255	0.38004	-0.27734	-0.24919	1.0279	-0.28185	0.93216	-0.31404	-0.074787	-0.13291	-0.55875	0.38549	-0.31214	-0.11071	0.0050136	"TCGA-13-0888-01A"	-0.032805	-0.053091	-0.063488	0.020223	-0.51692	1.4377	-0.36289	0.21262	0.60283	0.23328	0.28475
"TCGA-13-0911-01A"	0.041956	-0.30665	0.35728	0.23172	0.56188	0.1168	0.21772	-0.26289	0.065289	-0.17332	-0.059709	-0.25569	-0.001393	-0.49103	0.62743	-0.61915	-0.41178	-0.33409	-0.10006	0.51313	0.088504	0.080238	-0.33577	-1.4997	0.18561	0.013005	0.25615	0.44425	0.0047432	-0.76686	-0.19085	-0.41246	-0.28486	0.21049	-0.076083	0.1383	-1.1265	-0.11737	-0.5212	-0.34915	0.54185	0.10082	0.61359	-0.14319	0.69183	0.47301	0.6868	0.52087	-0.083975	0.048992	-0.41813	"TCGA-13-0911-01A"	0.53182	0.22234	-0.35387	-0.13584	-0.3599	1.595	-0.14926	-0.74275	0.41825	-0.078368	0.047535
"TCGA-10-0933-01A"	0.15333	1.1212	0.29604	-0.0073256	0.86188	0.47956	0.14956	-0.13571	0.11243	0.18301	-0.85481	0.064722	0.18828	-0.32456	0.14702	-0.82431	-1.2209	-0.19458	-0.26705	0.33287	-0.06134	-0.21577	0.27263	-0.09726	1.1476	0.049037	-0.061391	-0.96134	-0.3485	-0.51043	-0.18377	0.11552	-0.16093	-0.31209	0.93358	-0.12953	-0.040534	-0.49164	0.30096	0.11915	1.0562	0.38542	0.50349	-0.04075	0.066961	-0.23401	-0.034784	0.41508	0.0014108	0.17072	-0.35546	"TCGA-10-0933-01A"	1.0942	-0.02904	0.04288	0.09704	0.24764	0.48231	0.24848	-0.52542	0.56783	-0.094817	0.60958
